fdc_id	g	ml	desc	comment
167684	245.00	236.60		
167685	138.00	236.60	pieces	
167685	 14.00	 16.39		
167685	 28.00	  0.00	slice, medium	
167685	 43.00	  0.00	slice, thick	
167685	 14.00	  0.00	slice, thin	
167686	137.00	236.60		
167687	 75.00	236.60		
167688	 94.00	236.60		
167688	  3.00	  0.00	packet	
167689	 46.00	  0.00	serving 1.63 oz singles bag	
167689	203.00	236.60		
167689	  2.20	  0.00	piece	
167690	 15.00	 14.79		
167690	113.00	  0.00	jar NFS	
167690	113.00	  0.00	jar Beech-Nut Stage 2	4 oz
167691	 13.00	 14.79		
167691	207.00	236.60		
167692	 16.00	 14.79		
167692	249.00	236.60		
167693	 16.00	 14.79		
167693	260.00	236.60		
167694	130.00	236.60	cooked	
167694	 21.00	  0.00	oz cooked, yield	
167694	 25.00	  0.00	patty, cooked	
167695	 15.00	 14.79		
167695	240.00	236.60		
167696	 57.00	  0.00	frankfurter	
167696	151.00	236.60	sliced	
167697	245.00	236.60		
167697	 30.60	 29.58		
167698	 45.00	  0.00	2x links 1 NLEA serving	
167698	 60.00	  0.00	3x links 1 NLEA serving	
167699	 17.00	 14.79		
167699	265.00	236.60		
167700	 16.00	 14.79		
167700	256.00	236.60		
167701	 50.00	  0.00	serving 1.76 oz bar	
167701	 19.00	  0.00	bar fun size	
167701	 41.00	  0.00	serving 5 miniatures	
167702	 13.60	 14.79		
167702	218.00	236.60		
167703	227.00	236.60		
167704	 15.00	 14.79		
167704	240.00	236.60		
167705	100.00	236.60	grated	
167705	  5.00	 14.79		
167706	 17.00	 14.79		
167707	  2.00	  4.93		
167708	242.00	236.60		
167708	 30.20	 29.58		
167709	 85.00	  0.00	3x oz with bone, cooked	yield after bone removed
167709	 17.00	 16.39	boneless	
167710	 85.00	  0.00	3x oz with bone, cooked	yield after bone removed
167710	 17.00	 16.39	boneless	
167711	244.00	236.60		
167711	 30.50	 29.58		
167712	  8.00	  0.00	slice cooked	
167713	 28.00	  0.00	medium slice	approx 3" x 2" x 1/4"
167713	 42.00	  0.00	thick slice	approx 3" x 2" x 3/8"
167715	 59.00	295.75		1 NLEA serving
167716	226.00	236.60		
167717	  6.00	  4.93		
167718	 31.20	 29.58		
167718	131.00	  0.00	bottle Earth's Best	4.2 fl oz
167718	125.00	  0.00	bottle Heinz Strained	4 fl oz
167718	125.00	  0.00	bottle Gerber First Food	4 fl oz
167718	125.00	  0.00	bottle Beech-Nut Stage I	4 fl oz
167718	125.00	  0.00	bottle NFS	
167719	130.00	236.60	diced	
167719	168.00	236.60	pieces	
167719	 36.00	  0.00	piece	
167720	179.00	  0.00	jar NFS	
167722	262.00	236.60		
167723	 29.10	 29.58		
167724	 21.00	236.60		
167725	 50.00	236.60		1 NLEA serving
167726	 15.00	 14.79		
167726	113.00	  0.00	jar NFS	
167726	113.00	  0.00	jar Gerber Second Food	4 oz
167726	113.00	  0.00	jar Beech-Nut Stage 2	4 oz
167726	120.00	  0.00	jar Heinz Strained-2	4.25 oz
167727	252.00	236.60		
167727	 31.50	 29.58		
167728	  2.50	 14.79		
167729	 31.20	 29.58		
167729	125.00	  0.00	bottle Heinz Strained	4 fl oz
167729	125.00	  0.00	bottle NFS	
167729	125.00	  0.00	bottle Beech-Nut Stage 2	4 fl oz
167729	125.00	  0.00	bottle Gerber Second Foods	4 fl oz
167730	244.00	236.60		
167730	 30.50	 29.58		
167731	 15.00	  0.00	serving	
167732	 15.00	 14.79		
167732	113.00	  0.00	jar NFS	
167732	 71.00	  0.00	jar Beech-Nut Baby's First	2.5 oz
167732	113.00	  0.00	jar Beech-Nut Stage I	4 oz
167732	 71.00	  0.00	jar Gerber First Foods	2.5 oz
167732	128.00	  0.00	jar Earth's Best	4.5 oz
167732	 71.00	  0.00	jar Heinz Beginner-1	2.5 oz
167733	 15.00	 14.79		
167733	113.00	  0.00	jar NFS	
167733	113.00	  0.00	jar Gerber Second Food	4 oz
167734	 37.00	  0.00	bar	
167735	132.00	236.60	diced	
167735	113.00	236.60	shredded	
167735	 18.00	 16.39		
167735	 28.00	  0.00	slice	1 oz
167736	 15.00	 14.79		
167736	239.00	236.60		
167737	 14.00	 14.79		
167737	  4.50	  4.93		
167738	151.00	  0.00	serving	
167738	262.00	236.60		
167739	 36.00	 29.58		
167739	 71.00	  0.00	serving 2 fl oz	
167739	355.00	  0.00	can 10 fl oz	
167740	  9.90	  0.00	serving	
167740	 40.00	  0.00	package	
167741	113.00	  0.00	serving	
167741	260.00	236.60		
167743	 21.00	  0.00	serving	
167746	212.00	236.60	sections	
167746	 58.00	  0.00	fruit	2-1/8" dia
167746	 84.00	  0.00	fruit	2-3/8" dia
167746	  7.00	  0.00	wedge or slice	1/8 of one 2-1/8" dia lemon
167746	 58.00	  0.00	NLEA serving	
167747	244.00	236.60		
167747	 30.50	 29.58		
167747	 48.00	  0.00	lemon yields	
167747	  5.90	  0.00	wedge yields	
167748	 15.00	 14.79		
167748	  5.00	  4.93		
167748	 30.50	 29.58		
167748	244.00	236.60		
167749	  6.00	 14.79		
167749	  2.00	  4.93		
167750	149.00	236.60		
167750	103.00	  0.00	fruit without refuse	
167751	248.00	236.60	pitted	
167752	248.00	236.60	pitted	
167753	256.00	236.60		
167753	 32.00	 29.58		
167754	190.00	236.60	sections	
167754	609.00	  0.00	fruit without refuse	
167755	123.00	236.60		
167755	312.00	473.20	as purchased, yields	
167755	 19.00	  0.00	10x raspberries	
167756	256.00	236.60		
167757	250.00	236.60	thawed	
167757	284.00	  0.00	package	10 oz
167758	122.00	236.60	diced	
167758	 51.00	  0.00	stalk	
167759	241.00	236.60	pulp	
167759	170.00	  0.00	sapodilla	
167760	175.00	236.60	1" pieces	
167760	558.00	  0.00	fruit without refuse	
167761	225.00	236.60	pulp	
167761	625.00	  0.00	fruit	7" x 5-1/4" dia
167762	152.00	236.60	halves	
167762	232.00	236.60	pureed	
167762	166.00	236.60	sliced	
167762	144.00	236.60	whole	
167762	 27.00	  0.00	extra large	1-5/8" dia
167762	 18.00	  0.00	large	1-3/8" dia
167762	 12.00	  0.00	medium	1-1/4" dia
167762	357.00	473.20	as purchased, yields	
167762	  7.00	  0.00	small	1" dia
167762	147.00	  0.00	NLEA serving	
167763	120.00	236.60	pulp	
167763	  2.00	  0.00	fruit	3" x 1"
167764	257.00	236.60		
167765	154.00	236.60	balls	
167765	152.00	236.60	diced	
167765	4518.00	  0.00	melon	15" long x 7-1/2" dia
167765	286.00	  0.00	wedge	approx 1/16 of melon
167765	122.00	  0.00	10x watermelon balls	
167765	280.00	  0.00	NLEA serving	
167766	  5.00	  0.00	cherry	NLEA serving
167767	181.00	236.60	chunks	
167767	195.00	236.60	crushed	
167767	162.00	236.60	sliced	
167767	 26.00	  0.00	spear	
167768	219.00	236.60	halves	
167768	182.00	236.60	whole	
167769	168.00	236.60		
167770	179.00	236.60		
167771	248.00	236.60		
167771	 31.00	 29.58		
167772	244.00	236.60		
167773	255.00	236.60		
167774	247.00	236.60		
167774	196.00	  0.00	fruit yields	
167775	239.00	236.60		
167775	 29.90	 29.58		
167776	140.00	236.60	sliced	
167776	152.00	  0.00	small	
167776	177.00	  0.00	medium	
167776	227.00	  0.00	large	
167777	126.00	  0.00	small	
167777	157.00	  0.00	medium	
167777	223.00	  0.00	large	
167777	140.00	236.60	sliced	
167778	140.00	236.60	sliced	
167778	159.00	  0.00	small	
167778	179.00	  0.00	medium	
167778	219.00	  0.00	large	
167779	140.00	236.60	sliced	
167779	172.00	  0.00	small	
167779	202.00	  0.00	medium	
167779	242.00	  0.00	large	
167780	 36.00	 29.58		
167782	114.00	118.30		
167783	114.00	118.30		
167784	251.00	236.60		
167785	251.00	236.60		
167786	251.00	236.60		
167787	249.00	236.60		
167787	 31.40	 29.58		
167788	 11.10	  0.00	3x fruit without pits	
167789	112.00	236.60	without pits, thawed	
167789	  9.80	  0.00	3x fruit without pits, thawed	
167790	120.00	236.60	thawed	
167791	233.00	236.60		
167791	209.00	  0.00	fruit	4-2/3" long x 2-3/4" dia
167792	246.00	236.60		
167793	109.00	236.60	sliced	
167793	236.00	  0.00	large	
167793	192.00	  0.00	medium	
167793	158.00	  0.00	small	
167794	249.00	236.60		
167794	 31.10	 29.58		
167795	240.00	236.60		
167796	275.00	236.60		
167797	252.00	236.60		
167798	230.00	236.60		
167799	233.00	236.60		
167800	177.00	177.45		
167800	295.00	295.75		
167801	 15.00	 14.79		
167801	  5.20	  4.93		
167802	 15.00	 14.79		
167802	  5.00	  4.93		
167803	 70.00	 59.15		
167804	 70.00	 59.15		
167805	248.00	236.60		
167807	269.00	236.60		
167807	 31.50	 29.58		
167815	135.00	236.60	diced	
167816	3952.00	  0.00	roast	
167817	3027.00	  0.00	roast	
