#  g  ml cal prot fat carb fiber
# Oils
  244   240    70   0.00   5.00   6.00   0.00 coconut milk
  244   240    40   0.00   4.00   2.00   0.00 coconut milk unsweet
  244   240    25   1.00   2.00   1.00   0.00 cashew milk unsweet
# Cheese
  100     0   337  18.94  26.05   6.94   0.00 american cheese
  -19     0    50   3.00   3.50   2.00   0.00 american cheese slice
  -19     0    70   3.00   6.00   1.00   0.00 american deli slice
  113   240   381  21.40  29.44   7.84   0.00 shredded american cheese
  113   240   381  21.40  29.44   7.84   0.00 shredded cheese
  100     0   380  26.93  27.80   5.38   0.00 swiss cheese
  -28     0   106   7.54   7.78   1.51   0.00 swiss cheese slice
  108   240   410  29.08  30.02   5.81   0.00 shredded swiss cheese
  100     0   403  24.90  33.14   1.28   0.00 cheddar
  100     0   403  24.90  33.14   1.28   0.00 cheddar cheese
  113   240   455  28.14  37.45   1.45   0.00 shredded cheddar
  113   240   455  28.14  37.45   1.45   0.00 shredded cheddar cheese
  100     0   392  35.75  25.83   3.22   0.00 parmesan
  100     0   392  35.75  25.83   3.22   0.00 parmesan cheese
  100   292   415  37.86  27.34   3.41   0.00 shredded parmesan
  100   292   415  37.86  27.34   3.41   0.00 shredded parmesan cheese
  100   100   431  38.46  28.61   4.06   0.00 grated parmesan
  100   100   431  38.46  28.61   4.06   0.00 grated parmesan cheese
  100     0   302  25.96  20.03   3.83   0.00 mozzarella
  100     0   302  25.96  20.03   3.83   0.00 mozzarella cheese
  113   240   341  29.33  22.63   4.33   0.00 shredded mozzarella
  113   240   341  29.33  22.63   4.33   0.00 shredded mozzarella cheese
  100     0   384  24.12  31.20   1.62   0.00 colby jack
  100     0   384  24.12  31.20   1.62   0.00 colby jack cheese
  -28     0   109   6.84   8.85   0.46   0.00 colby jack slice
  -28     0   109   6.84   8.85   0.46   0.00 colby jack cheese slice
  113   240   434  27.26  35.26   1.83   0.00 shredded colby jack
  113   240   434  27.26  35.26   1.83   0.00 shredded colby jack cheese
   28    60    60   5.00   3.00   4.00   0.00 shredded velveeta
  232   240   810  17.52  80.90   6.17   0.00 cream cheese
   14    15    60   1.00   7.00   0.00   0.00 mascarpone
  100     0   356  24.94  27.44   2.22   0.00 gouda
  100     0   356  24.94  27.44   2.22   0.00 gouda cheese
  100     0   351  25.58  26.62   2.14   0.00 provolone
  100     0   351  25.58  26.62   2.14   0.00 provolone cheese
  -28     0    98   7.16   7.45   0.60   0.00 provolone slice
  -28     0    98   7.16   7.45   0.60   0.00 provolone cheese slice
# Pantry
  200   240   774   0.00   0.00 199.96   0.00 sugar
  200   240   774   0.00   0.00 199.96   0.00 granulated sugar
  220   240   829   0.00   0.00 214.13   0.00 brown sugar
  220   240   829   0.00   0.00 214.13   0.00 packed brown sugar
  145   240   547   0.00   0.00 141.13   0.00 unpacked brown sugar
  120   240   467   0.00   0.12 119.52   0.00 powdered sugar
  120   240   467   0.00   0.12 119.52   0.00 unsifted powdered sugar
  100   240   389   0.00   0.10  99.60   0.00 sifted powdered sugar
  337   240   977   0.00   0.34 251.84   0.00 molasses
  125   240   455  12.91   1.22  95.39   3.40 flour
  120   240   407  16.44   2.24  87.08  14.60 whole wheat flour
  137   240   496  11.23   1.18 106.90   2.30 cake flour
    8    15    30   0.00   0.00   7.00   0.00 corn starch
   30    60   130   2.00   3.00  23.00   1.00 graham cracker crumbs
   28   120   100   3.00   0.00  20.00   1.00 panko
   28   120   110   3.00   3.50  17.00   1.00 italian panko
   30   120   120   4.00   1.50  21.00   2.00 bread crumbs
   30   120   120   4.00   1.50  21.00   2.00 italian bread crumbs
  100   193   314  12.26  16.76  54.66  34.20 chili powder
  300   240     0   0.00   0.00   0.00   0.00 salt
  100   236   255  11.00   3.00  65.00  27.00 pepper
  100   236   255  10.95   3.26  64.81  26.50 black pepper
  100   208   296  10.40   2.12  68.61  26.20 white pepper
  100   277   318  12.01  17.27  56.63  27.20 cayenne pepper
  163   223     0   0.00   0.00   0.00   0.00 lemon pepper
  100   252   375  17.81  22.27  44.24  10.50 cumin
  100   214   289  14.76  12.95  55.74  37.40 paprika
  100   218   354   7.83   9.88  64.93  21.10 turmeric
  100   251   306  11.00  10.25  64.43  42.80 oregano
  100   251   306  11.00  10.25  64.43  42.80 ground oregano
  100   801   271  12.66   7.04  60.56  40.30 marjoram
  100   776   315  10.63  12.75  60.73  40.30 sage
  100  1017   276  22.42   4.43  51.66  30.40 dried parsley
  100   340   276   9.11   7.43  63.94  37.00 thyme
  100   214   261   3.89   3.19  79.85  54.30 cinnamon
  200   240   758   0.50   0.42 197.36   7.00 cinnamon sugar
  100   243   263   6.09   8.69  72.12  21.60 allspice
  100   337   251  14.37   3.98  60.96  40.50 basil
  100   825   279  21.93   4.78  52.10  10.40 coriander
  100   255   345  15.80  14.87  52.29  39.80 fennel seed
  100   270   347   9.12   5.95  70.79  12.50 ground ginger
  100   266   342   5.76  12.60  69.28  14.80 pumpkin pie spice
  100   266   342   5.76  12.60  69.28  14.80 pumpkin spice
  100   240   325  12.66  13.81  58.15  33.20 curry powder
    5    15    25   1.00   1.00   3.00   0.00 garam masala
  453   466     0   0.00   0.00   0.00   0.00 lawry's
   57   117     0   0.00   0.00   0.00   0.00 italian seasoning
  100   413   307   9.59   7.53  65.59  11.30 poultry seasoning
    9    20    30   0.00   0.00   4.00   0.00 pork rub
  208   240   599   0.12   0.12  26.31   0.00 vanilla
  208   240   599   0.12   0.12  26.31   0.00 vanilla extract
   21    25     0   0.00   0.00   0.00   0.00 lemon extract
  136   240   181   8.61   0.91  44.88   4.50 dried minced garlic
  100   175   332  16.80   0.76  72.71   9.90 garlic powder
  168   240   805   7.06  50.40 106.01   9.90 chocolate chip
  100     0   501  12.90  52.31  29.84  16.60 chocolate
  100     0   501  12.90  52.31  29.84  16.60 baking chocolate
  100     0   535   7.65  29.66  59.40   3.40 milk chocolate
  300   240   837   6.30   3.39 195.30   7.80 chocolate syrup
  100   279   229  19.60  13.70  54.30  33.20 cocoa
  100   279   229  19.60  13.70  54.30  33.20 cocoa powder
   38    30   120   2.00   4.00  20.00   1.00 hot fudge
    9    15    30   1.00   0.50   6.00   0.00 chili seasoning
    9    20    30   0.00   0.00   6.00   0.00 taco seasoning
  -34     0   120  24.00   1.00   3.00   1.00 casein scoop
  -34     0   120  24.00   1.00   3.00   1.00 casein powder scoop
  -33     0   110  25.00   1.00   1.00   1.00 isopure scoop
   34    70   120  24.00   1.00   3.00   1.00 casein
