fdc_id	kcal	prot	fat	carb	fiber	alc	atwater	desc
167569	0.00	0.00	0.00	0.00	0.00	0.00	4.00,9.00,4.00	Candies, confectioner's coating, yogurt
167570	0.00	0.00	0.00	0.00	0.00	0.00	4.00,9.00,4.00	Candies, confectioner's coating, peanut butter
167571	0.00	0.00	0.00	0.00	0.00	0.00	4.30,8.80,3.90	Candies, white chocolate
167572	0.00	0.00	0.00	0.00	0.00	0.00	4.00,9.00,4.00	Ice creams, vanilla, light
167573	0.00	0.00	0.00	0.00	0.00	0.00	4.00,9.00,4.00	Ice creams, vanilla, rich
167574	0.00	0.00	0.00	0.00	0.00	0.00		Desserts, flan, caramel custard, prepared-from-recipe
167575	0.00	0.00	0.00	0.00	0.00	0.00	4.00,9.00,4.00	Ice creams, vanilla
167576	0.00	0.00	0.00	0.00	0.00	0.00	4.10,8.79,3.80	Ice creams, vanilla, light, soft-serve
167577	0.00	0.00	0.00	0.00	0.00	0.00	4.00,9.00,4.00	Sherbet, orange
167578	0.00	0.00	0.00	0.00	0.00	0.00		Candies, fudge, peanut butter, prepared-from-recipe
167579	0.00	0.00	0.00	0.00	0.00	0.00		Candies, fudge, vanilla, prepared-from-recipe
167580	0.00	0.00	0.00	0.00	0.00	0.00		Candies, fudge, vanilla with nuts
167581	0.00	0.00	0.00	0.00	0.00	0.00		Candies, NESTLE, GOOBERS Chocolate Covered Peanuts
167582	0.00	0.00	0.00	0.00	0.00	0.00		Candies, NESTLE, BABY RUTH Bar
167583	0.00	0.00	0.00	0.00	0.00	0.00		Candies, TWIZZLERS Strawberry Twists Candy
167584	0.00	0.00	0.00	0.00	0.00	0.00		Syrups, table blends, pancake, with butter
167585	0.00	0.00	0.00	0.00	0.00	0.00		Ice creams, chocolate, light
167586	0.00	0.00	0.00	0.00	0.00	0.00		Candies, NESTLE, CHUNKY Bar
167587	0.00	0.00	0.00	0.00	0.00	0.00	4.00,9.00,4.00	Candies, milk chocolate
167588	0.00	0.00	0.00	0.00	0.00	0.00		Puddings, banana, dry mix, instant, prepared with 2% milk
167589	0.00	0.00	0.00	0.00	0.00	0.00		Puddings, banana, dry mix, regular, prepared with 2% milk
167590	0.00	0.00	0.00	0.00	0.00	0.00		Andrea's, Gluten Free Soft Dinner Roll
167591	0.00	0.00	0.00	0.00	0.00	0.00		Crunchmaster, Multi-Grain Crisps, Snack Crackers, Gluten-Free
167592	0.00	0.00	0.00	0.00	0.00	0.00		Glutino, Gluten Free Cookies, Chocolate Vanilla Creme
167593	0.00	0.00	0.00	0.00	0.00	0.00		Glutino, Gluten Free Cookies, Vanilla Creme
167594	0.00	0.00	0.00	0.00	0.00	0.00		Pepperidge Farm, Goldfish, Baked Snack Crackers, Original
167595	0.00	0.00	0.00	0.00	0.00	0.00		Pepperidge Farm, Goldfish, Baked Snack Crackers, Parmesan
167596	0.00	0.00	0.00	0.00	0.00	0.00		Pepperidge Farm, Goldfish, Baked Snack Crackers, Pizza
167597	0.00	0.00	0.00	0.00	0.00	0.00		Rudi's, Gluten-Free Bakery, Original Sandwich Bread
167598	0.00	0.00	0.00	0.00	0.00	0.00		Udi's, Gluten Free, Soft & Delicious White Sandwich Bread
167599	0.00	0.00	0.00	0.00	0.00	0.00		Udi's, Gluten Free, Soft & Hearty Whole Grain Bread
167600	0.00	0.00	0.00	0.00	0.00	0.00		Udi's, Gluten Free, Whole Grain Dinner Rolls
167601	0.00	0.00	0.00	0.00	0.00	0.00		Van's, Gluten Free, Totally Original Pancakes
167602	0.00	0.00	0.00	0.00	0.00	0.00		Seaweed, Canadian Cultivated EMI-TSUNOMATA, dry
167603	0.00	0.00	0.00	0.00	0.00	0.00		Seaweed, Canadian Cultivated EMI-TSUNOMATA, rehydrated
167604	0.00	0.00	0.00	0.00	0.00	0.00		Potatoes, hash brown, refrigerated, unprepared
167605	0.00	0.00	0.00	0.00	0.00	0.00		Potatoes, hash brown, refrigerated, prepared, pan-fried in canola oil
167606	0.00	0.00	0.00	0.00	0.00	0.00	4.03,8.37,2.78	Sweet Potatoes, french fried, frozen as packaged, salt added in processing
167607	0.00	0.00	0.00	0.00	0.00	0.00		Moose, meat, raw (Alaska Native)
167608	0.00	0.00	0.00	0.00	0.00	0.00		Mashu roots, raw (Alaska Native)
167609	0.00	0.00	0.00	0.00	0.00	0.00		Moose, liver, braised (Alaska Native)
167610	0.00	0.00	0.00	0.00	0.00	0.00		Seal, bearded (Oogruk), meat, raw (Alaska Native)
167611	0.00	0.00	0.00	0.00	0.00	0.00		Oil, bearded seal (Oogruk) (Alaska Native)
167612	0.00	0.00	0.00	0.00	0.00	0.00		Oopah (tunicate), whole animal (Alaska Native)
167613	0.00	0.00	0.00	0.00	0.00	0.00		Owl, horned, flesh, raw (Alaska Native)
167614	0.00	0.00	0.00	0.00	0.00	0.00		Fish, salmon, king, chinook, smoked and canned (Alaska Native)
167615	0.00	0.00	0.00	0.00	0.00	0.00		Fish, salmon, king, chinook, smoked, brined (Alaska Native)
167616	0.00	0.00	0.00	0.00	0.00	0.00		Fish, salmon, king, chinook, liver (Alaska Native)
167617	0.00	0.00	0.00	0.00	0.00	0.00		Duck, scoter, white-winged, meat (Alaska Native)
167618	0.00	0.00	0.00	0.00	0.00	0.00		Sea cucumber, yane (Alaska Native)
167619	0.00	0.00	0.00	0.00	0.00	0.00		Squirrel, ground, meat (Alaska Native)
167620	0.00	0.00	0.00	0.00	0.00	0.00		Tea, tundra, herb and laborador combination (Alaska Native)
167621	0.00	0.00	0.00	0.00	0.00	0.00		Walrus, meat, dried (Alaska Native)
167622	0.00	0.00	0.00	0.00	0.00	0.00	4.27,9.02,3.87	Deer (venison), sitka, raw (Alaska Native)
167623	0.00	0.00	0.00	0.00	0.00	0.00		Whale, bowhead, subcutaneous fat (blubber) (Alaska Native)
167624	0.00	0.00	0.00	0.00	0.00	0.00		Whale, bowhead, skin and subcutaneous fat (muktuk) (Alaska Native)
